(Mass, x, Y, z, Vx, Vy, Vz, q)
1988500e24, 0, 0, 0, 0, 0, 0, 0
3.302e23, 5.37098466985048e+10, -6.09677385731233e+09, -5.42487054551697e+09, -3.92591049073893e+03 , 5.05807591468480e+04, 4.49347545488943e+03, 0.0
48.685e23, -1.01524542529960e+10, 1.07117328655518e+11, 2.05602782614924e+09, -3.49837759555883e+04, -3.49439199662176e+03, 1.97076073611840e+03, 0.0
5.97219e23, -2.61278009654694e+10, 1.44769039464921e+11, -6.81898198001831e+06, -2.98122058515654e+04, -5.4009003446507e+03, 1.5296913630913, 0.0
6.4172e23, -1.29667505267917e+11, -1.89813495772519e+11, -7.97326140097051e+08, 2.09157540850264e+04, -1.15904162712246e+04, -7.55969511093628e+02, 0.0
189818722e22, 6.968391459929944+11, -2.68462714596484e+11, -1.44754916750004e+10, 4.54542199381959e+03, 1.28197516200679e+04, -1.54967365562504e+02, 0.0
5.6834e26, 1.04121275686524e+12, -1.05715085860007e+12, -2.30568816605172e+10, 6.35095938449374e+03, 6.77073693947601e+03, -3.70696065230375e+2, 0.0
86.813e24, 2.15385411234367e+12, 2.01638753505579e+12, -2.04220059041802e+10, -4.70004419611245e+03, 4.66676423746982e+03, 7.79658984280051e+01, 0.0
102.409e24, 4.43307370429070e+12, -6.11949398325869e+11, -8.95693785317888e+10, 7.12434236265547e+02, 5.43169349659040e+03, -1.27389358127964e+02, 0.0
+1.307e22, 2.26292951127585e+12, -4.62482093899014e+12, -1.59397341633430e+11, 5.03148842489726e+03, 1.22716018041220e+03, -1.60171786516560e+03, 0.0
